Creature ID,Genome
10,"('IH', 'LBf', 5, np.float64(0.25815039020412883));('IH', 'Sg', 5, np.float64(0.008860011944484103));('IH', 'BDx', 3, -0.5429032423020415);('IH', 'Sfd', 4, np.float64(-0.8618552746906627));('HO', 0, 'Mfd', -0.47778896992689157);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 0, 'Mfd', -0.48056183758896287);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'LBf', 5, np.float64(0.25815039020412883));('IH', 'BD', 1, 0.3255110212965773);('HO', 3, 'Mfd', -0.9445790796557088);('HO', 1, 'Mfd', 0.6031295353721156);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 0, 'Mrn', -0.05436384262378535)"
11,"('HO', 2, 'Mfd', -0.2637875244401304);('IH', 'Pop', 4, np.float64(0.4756746768760105));('HO', 0, 'Mfd', -0.47778896992689157);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 4, 'Mfd', -0.08450751336120921);('HO', 1, 'Mfd', -0.29473661658821415);('HO', 4, 'Mfd', 0.40998472998213975);('HO', 3, 'Mfd', -0.9445790796557088);('HO', 4, 'Mfd', 0.8103162165445568);('IH', 'LBf', 5, 0.15006938106579648);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'Rnd', 6, 0.027851649784305987);('IH', 'Pop', 2, 0.07899143578695345);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'Osc', 3, -0.14902831962437157)"
12,"('IH', 'Plr', 0, -0.9286876736202359);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Pop', 4, np.float64(0.4756746768760105));('IH', 'Plr', 0, -0.9286876736202359);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'LBf', 5, np.float64(0.25815039020412883));('HO', 0, 'Mfd', -0.48056183758896287);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'BD', 2, np.float64(0.6793143071742216));('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Sfd', 4, np.float64(-0.8618552746906627));('IH', 'Pfd', 6, 0.8781835049890583);('HO', 3, 'Mfd', -0.9445790796557088);('HO', 2, 'Mfd', -0.2637875244401304);('HO', 2, 'Mfd', -0.2637875244401304)"
13,"('IH', 'BDx', 4, 0.9503512111206192);('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'Sfd', 4, np.float64(-0.8618552746906627));('HO', 3, 'Mfd', -0.9445790796557088);('IH', 'BD', 1, 0.3255110212965773);('HO', 4, 'Mfd', 0.8103162165445568);('IH', 'Sir', 4, -0.637834707151796);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('HO', 2, 'Mfd', np.float64(0.5231305532949031));('IH', 'Sg', 5, np.float64(0.008860011944484103));('IH', 'Rnd', 4, -0.11062073256176186);('IH', 'Sfd', 4, np.float64(-0.8618552746906627));('IH', 'Pfd', 4, np.float64(-0.794753758094599));('HO', 0, 'Mfd', -0.47778896992689157)"
14,"('IH', 'Pfd', 6, np.float64(0.6873201435771115));('HO', 4, 'Mfd', 0.40998472998213975);('HO', 1, 'Mfd', -0.29473661658821415);('HO', 2, 'Mfd', 0.8800738862798034);('IH', 'Rnd', 2, -0.05843115757917183);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'BDy', 5, -0.7107084609002312);('HO', 0, 'Mfd', -0.48056183758896287);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'LBf', 5, 0.15006938106579648);('IH', 'Rnd', 6, 0.027851649784305987);('IH', 'Plr', 4, 0.14301530103984605);('HO', 4, 'Mfd', 0.8103162165445568);('IH', 'Bfd', 3, 0.18135821002145236)"
15,"('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'BD', 6, np.float64(-0.6295162728213187));('IH', 'BD', 0, 0.1148929159335792);('IH', 'Sg', 5, np.float64(0.008860011944484103));('HO', 1, 'Mfd', -0.29473661658821415);('HO', 6, 'Mfd', -0.8716187643816631);('IH', 'Sfd', 4, -0.8235921791622178);('HO', 0, 'Mfd', -0.5317982249516042);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'LBf', 5, np.float64(0.25815039020412883));('IH', 'Sg', 5, np.float64(0.008860011944484103));('IH', 'Sfd', 5, -0.3149420598455259);('HO', 0, 'Mfd', -0.48056183758896287);('HO', 0, 'Mfd', -0.47778896992689157)"
16,"('HO', 0, 'Mfd', -0.47778896992689157);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'Sfd', 4, np.float64(-0.8788142741047222));('IH', 'BDx', 4, 0.9503512111206192);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 0, 'Mrn', np.float64(-0.2099376383126713));('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Sir', 4, -0.637834707151796);('IH', 'LPF', 3, 0.514074902224009);('IH', 'Sfd', 4, -0.8235921791622178);('IH', 'Osc', 3, -0.14902831962437157);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Sfd', 5, -0.3149420598455259);('IH', 'BD', 3, 0.7662865045214753);('IH', 'Rnd', 0, np.float64(-0.36698444933992935))"
17,"('HO', 2, 'Mfd', 0.9732052632694248);('HO', 0, 'Mfd', -0.48056183758896287);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'BD', 6, np.float64(0.299697110902261));('HO', 4, 'Mfd', np.float64(0.6380046241620279));('HO', 2, 'Mfd', 0.9732052632694248);('HO', 0, 'Mfd', -0.48056183758896287);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 2, 'Mfd', -0.2637875244401304);('HO', 2, 'Mfd', np.float64(-0.15947690297019812));('HO', 4, 'MRL', np.float64(-0.2753414676725693));('IH', 'BDx', 4, np.float64(1.0));('IH', 'LPF', 3, 0.514074902224009);('IH', 'Sir', 3, 0.9639463392384282);('IH', 'BD', 6, 0.22512928564959078)"
18,"('IH', 'LPF', 3, 0.514074902224009);('HO', 1, 'Mfd', -0.21834678144256414);('HO', 3, 'Mfd', -0.9445790796557088);('IH', 'BDx', 0, -0.30870655124704394);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Pop', 6, -0.22891698299362684);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'BDy', 5, -0.7107084609002312);('HO', 4, 'Mfd', np.float64(0.5116104635697654));('IH', 'Pop', 4, np.float64(0.4756746768760105));('IH', 'BDx', 4, 0.9503512111206192);('HO', 0, 'Mfd', -0.48056183758896287);('IH', 'Sir', 1, 0.1130223711751559);('IH', 'Sir', 4, -0.637834707151796);('IH', 'Sir', 1, 0.1130223711751559)"
19,"('IH', 'Plr', 0, -0.9286876736202359);('IH', 'BDx', 4, np.float64(1.0));('IH', 'Sfd', 4, -0.8235921791622178);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'BDx', 4, np.float64(0.9948882628146137));('IH', 'BDx', 4, 0.9503512111206192);('HO', 1, 'Mfd', -0.29473661658821415);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('HO', 0, 'Mfd', np.float64(-0.3735766825554951));('HO', 2, 'Mfd', 0.9732052632694248);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'BD', 6, 0.22512928564959078);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'BDx', 3, np.float64(0.8336712932311756));('IH', 'BDx', 4, 0.9503512111206192)"
