Creature ID,Genome
22,"(HO,6,MX,0.46877965772993346);(IH,Rnd,4,-0.9320065306109846);(HO,6,Kill,-0.7696168919581565);(IH,Rnd,0,0.18249380103407553);(IH,Bfd,5,0.2811278690187726);(HO,5,Mfd,-0.3453516464502937);(IH,LBf,2,-0.4977385386563068);(HO,2,Res,0.9692498280441129);(IH,BDy,2,0.11619447453254361);(IH,LMx,5,0.42333000966887835);(HO,6,LPD,-0.11789521950477266);(IH,Ly,3,-0.1930100510218562);(HO,4,Res,0.425932557009568);(HO,4,MX,-0.8629564518891333);(HO,0,LPD,-0.5992352363926037)"
23,"(HO,0,SG,-0.6633162233637504);(HO,5,SG,-0.5128700586492072);(HO,6,MX,0.46877965772993346);(HO,4,Res,0.9222881189030729);(IH,Sg,0,0.3617346282989351);(IH,BDy,6,-0.18481414042440925);(IH,BDx,1,-0.5757737270807313);(IH,LBf,0,-0.6000820991578115);(HO,4,MX,-0.8629564518891333);(IH,Sir,0,0.500102444447162);(IH,Rnd,4,-0.06259061685682066);(HO,3,Res,0.8776097879330929);(IH,LMx,5,0.42333000966887835);(HO,1,Mfd,0.28698370891818525);(HO,1,MY,-0.21222997090536544)"
24,"(HO,6,OSC,0.31430764698623426);(HO,5,SG,-0.5128700586492072);(HO,0,MX,0.39733261388327734);(HO,5,Res,0.7581486652233089);(HO,5,SG,0.3909607137070745);(HO,4,LPD,0.4565773230951582);(IH,Blr,6,0.7205137551204059);(IH,LBf,2,-0.4977385386563068);(IH,Lx,3,0.10891332486209504);(HO,2,MX,-0.17467126927223142);(HO,3,SG,0.9976171448424922);(HO,5,Mfd,-0.8827738230103477);(HO,4,Mrn,0.029440006756669357);(IH,Ly,2,-0.8666203115256006);(HO,1,LPD,-0.3306069619593921)"
25,"(IH,Plr,5,0.030737095397352032);(IH,Gen,5,0.14006934338350563);(HO,1,Res,0.7509290802421829);(IH,BD,0,0.5085456516415201);(IH,Osc,0,0.9356482231165184);(IH,Sfd,4,-0.8704363184910902);(HO,4,Mfd,-0.7864354425088238);(IH,BDy,1,0.2685279669141376);(IH,LBf,2,-0.4977385386563068);(IH,Osc,5,-0.37920150264004393);(IH,Ly,1,0.40267846587648015);(HO,3,SG,-0.1951312715376181);(HO,6,Res,0.5830433607197472);(IH,Blr,1,-0.5212699502562461);(IH,Bfd,5,-0.18115791134053705)"
26,"(HO,3,OSC,0.3230710521742277);(IH,LMx,4,-0.7113596640579067);(HO,2,MY,0.00944684847650823);(IH,LMy,1,-0.97285337563322);(HO,6,MX,0.3815136265409995);(HO,5,OSC,0.6570444029867775);(IH,Blr,1,-0.11033847645651673);(IH,BDy,3,0.2607750575658674);(HO,4,LPD,0.39305321566121565);(IH,Pfd,4,0.7555179840404758);(HO,4,LPD,-0.5768165281414712);(HO,1,OSC,-0.76125997510827);(HO,4,OSC,0.13080210781586454);(HO,4,Res,0.9222881189030729);(HO,3,LPD,0.6369333295255499)"
27,"(IH,Blr,6,-0.6167675432316502);(IH,BDx,6,0.9291293014393731);(HO,5,Res,0.7581486652233089);(HO,2,Mfd,-0.20377587192660918);(IH,Pop,3,-0.3614764971184137);(IH,BDx,6,0.22790635401903003);(IH,Blr,6,0.8003634196059077);(IH,Plr,4,-0.9826505601651583);(IH,BDy,2,0.11619447453254361);(IH,Lx,0,-0.7609857953296222);(IH,Pfd,3,0.4998168896171973);(HO,0,Mrv,-0.08410289465671816);(IH,BDy,3,0.5047910001834246);(HO,0,MX,-0.9044544569091095);(HO,1,OSC,-0.76125997510827)"
28,"(IH,LPF,2,0.398476852754046);(IH,LBf,5,-0.7609503361381309);(HO,5,Mfd,-0.3453516464502937);(HO,2,MX,-0.5483395755186178);(IH,Sfd,6,0.5735143163369285);(HO,3,Mfd,-0.9576200421618297);(HO,3,MX,0.18867312520209434);(HO,5,MRL,-0.30090505578423166);(HO,0,MX,-0.6216554008006538);(HO,3,Mfd,-0.9576200421618297);(IH,BD,3,-0.8263479383647006);(HO,5,OSC,0.7463445380262577);(IH,Gen,3,-0.7586861819590005);(IH,BD,1,0.962775354871972);(HO,5,Mfd,-0.3453516464502937)"
29,"(IH,Plr,5,0.7682570704414309);(IH,LPF,1,0.812853886379773);(HO,0,OSC,0.95372230694527);(HO,1,Mfd,0.361997586295399);(HO,3,LPD,0.46384215233406434);(HO,3,Mrn,0.5814867844975322);(IH,BDx,2,-0.6277762582725743);(IH,LBf,4,0.930231672479644);(HO,2,Kill,0.7818558731856593);(HO,0,SG,-0.6633162233637504);(IH,Bfd,5,-0.18115791134053705);(IH,LBf,4,0.930231672479644);(IH,BDy,1,0.760544161615593);(IH,LBf,2,-0.9622552961449);(IH,BD,3,-0.8263479383647006)"
30,"(IH,BDy,1,0.2685279669141376);(HO,4,MY,0.7398668699415716);(IH,Lx,3,0.5499965793740564);(IH,LMy,3,-0.26627015972798396);(IH,Ly,2,-0.9357349844644194);(IH,Pfd,4,0.7555179840404758);(IH,Osc,0,0.9356482231165184);(IH,LMx,6,-0.40292515930426465);(HO,4,LPD,-0.014636928348872313);(HO,6,SG,-0.8586128696619881);(HO,5,SG,-0.5128700586492072);(HO,4,Res,-0.9266980348550706);(IH,Pop,5,-0.14931777341805863);(HO,5,Res,0.7581486652233089);(IH,Pop,3,-0.017873821539660772)"
31,"(IH,LMx,6,0.39714634480254607);(IH,Lx,6,-0.4614928571409205);(HO,0,Kill,0.22489732341070479);(HO,6,LPD,-0.15948284708947202);(IH,LPF,2,-0.8359612830292267);(HO,2,Mrn,0.3316641799729443);(IH,Blr,6,0.8003634196059077);(HO,0,Mfd,0.26481182334038245);(HO,5,SG,0.3909607137070745);(IH,Plr,4,0.8215899337748465);(IH,Lx,1,-0.1789737934986615);(HO,0,Mfd,0.8539836143426169);(HO,4,MX,-0.862195212087068);(IH,Pfd,6,-0.591029457874569);(IH,Bfd,5,-0.18115791134053705)"
