Creature ID,Genome
10,"('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Rnd', 1, 0.9585204672403618);('HO', 4, 'OSC', 0.4918337715539085);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Sg', 4, -0.7485304522757494);('HO', 4, 'OSC', np.float64(0.560663824117742));('HO', 2, 'LPD', -0.539351102372962);('IH', 'Blr', 1, -0.11624724521436258);('IH', 'Sir', 6, np.float64(1.0));('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Blr', 1, -0.0775942138705692)"
11,"('IH', 'Osc', 3, 0.714823536305274);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Sir', 6, np.float64(1.0));('HO', 2, 'Res', np.float64(-0.6500069227320622));('IH', 'Pop', 5, 0.0914462803522067);('HO', 4, 'OSC', np.float64(0.560663824117742));('HO', 4, 'OSC', np.float64(0.560663824117742));('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'BDx', 4, 0.3460578759364996);('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'Plr', 6, 0.756761931049418);('IH', 'Plr', 6, 0.756761931049418);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Blr', 1, -0.0775942138705692);('HO', 4, 'OSC', np.float64(0.3867690345198792))"
12,"('IH', 'Sg', 4, -0.7485304522757494);('IH', 'Blr', 1, -0.0775942138705692);('HO', 4, 'OSC', np.float64(0.560663824117742));('HO', 4, 'Mrn', -0.9164905112010036);('IH', 'Ly', 1, -0.03637957146388393);('IH', 'Lx', 6, -0.8386922527806917);('IH', 'LMx', 6, -0.4726367769094466);('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Plr', 6, np.float64(0.6384976929101557));('IH', 'Sg', 4, 0.5497233032688309);('IH', 'Pop', 5, 0.0914462803522067);('HO', 4, 'OSC', 0.4918337715539085);('IH', 'Blr', 1, -0.0775942138705692);('HO', 4, 'OSC', np.float64(0.3867690345198792));('IH', 'Blr', 1, -0.11624724521436258)"
13,"('IH', 'Sfd', 6, 0.45963388670651484);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'LPF', 4, 0.9346181709242747);('IH', 'BDx', 1, 0.46917493934752286);('HO', 2, 'LPD', -0.539351102372962);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Blr', 1, -0.0775942138705692);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'LMy', 1, 0.47923914526048383);('IH', 'Sg', 4, 0.5497233032688309);('IH', 'Osc', 3, 0.714823536305274);('IH', 'BDx', 1, np.float64(0.5504861602434887));('HO', 2, 'Res', -0.5002432130371102);('HO', 2, 'LPD', -0.539351102372962)"
14,"('IH', 'Lx', 2, np.float64(1.0));('IH', 'Bfd', 0, -0.3315953313125095);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Blr', 1, -0.0775942138705692);('HO', 4, 'OSC', np.float64(0.3867690345198792));('HO', 4, 'OSC', np.float64(0.3867690345198792));('IH', 'Blr', 1, -0.0775942138705692);('HO', 2, 'LPD', -0.539351102372962);('IH', 'Blr', 1, -0.11624724521436258);('IH', 'Blr', 1, -0.0775942138705692);('HO', 4, 'OSC', 0.4918337715539085);('HO', 2, 'LPD', -0.539351102372962);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Rnd', 1, 0.9585204672403618);('HO', 2, 'Res', -0.5002432130371102)"
15,"('IH', 'Rnd', 2, -0.478177664739595);('IH', 'LPF', 4, np.float64(0.9270033120503325));('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Lx', 2, np.float64(1.0));('IH', 'LMx', 1, -0.5334067678357901);('IH', 'Lx', 2, 0.9913640323840431);('IH', 'Sg', 4, -0.7485304522757494);('IH', 'Plr', 6, np.float64(-1.0));('IH', 'BDx', 1, np.float64(0.5504861602434887));('IH', 'Plr', 6, 0.756761931049418);('HO', 2, 'LPD', -0.539351102372962);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'BDx', 1, np.float64(0.5504861602434887))"
16,"('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'BDx', 4, 0.3460578759364996);('IH', 'Pop', 5, 0.0914462803522067);('IH', 'BDx', 1, np.float64(0.5504861602434887));('IH', 'Pop', 5, 0.0914462803522067);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'LMx', 6, -0.4726367769094466);('IH', 'Sfd', 6, 0.45963388670651484);('IH', 'Sg', 4, -0.7485304522757494);('IH', 'LMx', 6, -0.4726367769094466);('IH', 'Rnd', 1, 0.9585204672403618);('HO', 2, 'LPD', -0.539351102372962);('HO', 4, 'OSC', 0.4918337715539085);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Rnd', 1, 0.9585204672403618)"
17,"('IH', 'Osc', 3, np.float64(0.6312489589691488));('HO', 4, 'OSC', 0.4918337715539085);('IH', 'LPF', 4, 0.9346181709242747);('IH', 'Blr', 1, -0.0775942138705692);('HO', 2, 'LPD', -0.539351102372962);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Blr', 1, -0.11624724521436258);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'BDx', 4, 0.0959161078720725);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Plr', 6, np.float64(0.6384976929101557));('IH', 'BDx', 4, 0.3460578759364996);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'LMx', 6, -0.4726367769094466)"
18,"('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'BDx', 4, 0.3460578759364996);('IH', 'Pop', 5, 0.0914462803522067);('HO', 2, 'Res', np.float64(-0.6500069227320622));('IH', 'Blr', 1, -0.0775942138705692);('HO', 2, 'LPD', -0.539351102372962);('IH', 'Plr', 6, 0.756761931049418);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Plr', 6, 0.756761931049418);('HO', 2, 'Res', -0.5002432130371102);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'LPF', 4, 0.9346181709242747)"
19,"('IH', 'BDx', 4, np.float64(0.3419600478029263));('IH', 'Blr', 1, -0.11624724521436258);('IH', 'LMx', 6, -0.4726367769094466);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Pop', 5, 0.0914462803522067);('IH', 'Blr', 1, -0.0775942138705692);('HO', 2, 'Res', -0.5002432130371102);('IH', 'BDx', 1, np.float64(0.5504861602434887));('HO', 4, 'LPD', 0.8304150234216718);('IH', 'Gen', 4, 0.46756891797161626);('HO', 4, 'OSC', np.float64(0.3867690345198792));('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'BDx', 1, 0.46917493934752286);('HO', 4, 'LPD', np.float64(0.8022173404962768))"
