Generation,SurvivalRate,GeneticDiversity
0,24.9,128
1,24.8,128
2,25.7,128
3,23.5,128
4,26.200000000000003,128
5,24.6,128
6,25.8,127
7,27.1,127
8,28.299999999999997,128
9,26.700000000000003,127
10,25.8,128
11,23.3,127
12,26.0,126
13,27.500000000000004,127
14,25.6,126
15,26.3,126
16,25.1,125
17,24.2,127
18,25.6,126
19,28.599999999999998,125
20,25.8,126
21,27.500000000000004,127
22,27.500000000000004,125
23,26.6,127
24,28.000000000000004,124
25,25.2,126
26,27.400000000000002,125
27,26.400000000000002,127
28,26.700000000000003,127
29,27.500000000000004,127
30,25.3,126
31,25.0,127
32,28.299999999999997,126
33,22.8,125
34,29.099999999999998,122
35,29.099999999999998,125
36,28.799999999999997,123
37,27.6,128
38,26.400000000000002,128
39,26.1,126
40,27.900000000000002,123
41,29.2,124
42,28.4,123
43,27.3,125
44,28.1,127
45,28.299999999999997,124
46,31.4,127
47,34.0,127
48,32.9,127
49,33.900000000000006,125
50,34.599999999999994,123
51,32.300000000000004,124
52,32.0,124
53,37.8,124
54,36.7,123
55,35.6,127
56,38.800000000000004,125
57,37.7,125
58,38.6,126
59,37.2,126
60,37.9,126
61,36.6,126
62,38.9,126
63,40.400000000000006,122
64,40.2,125
65,42.1,127
66,43.1,127
67,40.6,126
68,45.2,125
69,46.7,124
70,45.7,125
71,49.5,122
72,51.800000000000004,124
73,47.9,123
74,50.3,121
75,53.900000000000006,124
76,56.00000000000001,120
77,56.3,123
78,56.99999999999999,125
79,58.699999999999996,124
80,57.4,125
81,56.8,126
82,55.2,121
83,59.0,123
84,57.8,122
85,56.89999999999999,119
86,58.8,120
87,53.7,121
88,58.699999999999996,124
89,59.9,123
90,57.3,118
91,62.0,123
92,56.3,120
93,59.199999999999996,118
94,60.0,122
95,58.4,121
96,60.0,124
97,58.699999999999996,121
98,58.5,127
99,55.00000000000001,125
100,56.00000000000001,125
101,59.9,126
102,56.10000000000001,125
103,58.3,123
104,59.9,119
105,57.199999999999996,123
106,57.49999999999999,120
107,59.599999999999994,122
108,61.1,123
109,58.099999999999994,122
110,56.10000000000001,124
111,59.4,122
112,56.8,121
113,55.60000000000001,122
114,58.9,124
115,58.099999999999994,125
116,58.599999999999994,122
117,59.3,123
118,58.599999999999994,120
119,59.099999999999994,126
120,57.4,125
121,61.0,125
122,57.4,124
123,57.699999999999996,124
124,58.099999999999994,126
125,62.3,124
126,61.8,123
127,58.3,124
128,61.3,121
129,55.800000000000004,120
130,61.4,124
131,59.9,124
132,56.99999999999999,123
133,57.8,121
134,57.49999999999999,124
135,58.3,124
136,57.8,120
137,59.099999999999994,120
138,58.099999999999994,121
139,58.9,123
140,58.699999999999996,120
141,59.3,121
142,56.00000000000001,123
143,54.400000000000006,119
144,57.99999999999999,120
145,57.3,124
146,55.400000000000006,126
147,56.699999999999996,123
148,56.8,121
149,58.3,124
150,58.9,123
151,57.4,122
152,59.4,120
153,59.099999999999994,126
154,59.4,125
155,58.3,123
156,57.4,120
157,60.0,123
158,57.49999999999999,121
159,55.400000000000006,125
160,56.00000000000001,125
161,57.699999999999996,124
162,59.8,126
163,58.9,126
164,54.900000000000006,125
165,59.4,126
166,57.4,124
167,57.3,124
168,60.099999999999994,125
169,58.4,126
170,56.10000000000001,125
171,57.9,124
172,57.3,123
173,57.49999999999999,126
174,63.0,123
175,58.199999999999996,127
176,56.8,127
177,54.1,124
178,57.099999999999994,127
179,59.0,121
180,58.199999999999996,123
181,60.4,125
182,61.199999999999996,124
183,55.7,120
184,58.599999999999994,124
185,55.400000000000006,122
186,60.8,125
187,56.599999999999994,125
188,56.2,123
189,57.099999999999994,125
190,59.099999999999994,123
191,58.099999999999994,123
192,56.99999999999999,123
193,57.9,124
194,56.10000000000001,119
195,58.8,123
196,58.699999999999996,122
197,57.8,124
198,60.3,123
199,58.4,124
200,55.900000000000006,123
201,56.3,125
202,57.8,123
203,59.9,123
204,58.8,126
205,60.5,124
206,56.599999999999994,128
207,57.099999999999994,128
208,58.099999999999994,126
209,59.8,125
210,58.199999999999996,123
211,55.300000000000004,127
212,55.800000000000004,125
213,56.00000000000001,126
214,56.49999999999999,124
215,59.599999999999994,124
216,57.4,123
217,57.3,126
218,62.3,125
219,56.699999999999996,127
220,58.3,123
221,59.0,122
222,58.3,125
223,57.99999999999999,122
224,57.9,125
225,61.1,123
226,60.4,123
227,58.4,122
228,56.49999999999999,121
229,58.199999999999996,122
230,58.4,124
231,58.4,122
232,61.8,123
233,59.9,122
234,58.199999999999996,125
235,58.5,123
236,56.599999999999994,124
237,56.89999999999999,122
238,58.699999999999996,123
239,58.8,117
240,60.5,117
241,60.099999999999994,119
242,60.099999999999994,119
243,61.6,122
244,58.5,122
245,56.3,123
246,57.4,124
247,55.50000000000001,120
248,58.8,121
249,57.9,121
250,58.9,118
251,59.8,122
252,60.3,120
253,60.9,125
254,61.5,120
255,58.099999999999994,123
256,56.39999999999999,124
