Generation,SurvivalRate,GeneticDiversity
0,13.750000000000002,128
1,15.0,128
2,13.375,127
3,16.875,126
4,17.875,126
5,17.75,126
6,18.625,125
7,20.5,122
8,17.625,121
9,17.625,121
10,18.75,120
11,17.875,116
12,20.25,117
13,18.75,116
14,19.125,108
15,21.375,110
16,22.875,105
17,22.375,104
18,25.25,100
19,25.124999999999996,100
20,28.749999999999996,100
21,24.75,95
22,29.875,92
23,27.875,92
24,32.375,91
25,32.875,91
26,33.25,91
27,35.5,86
28,38.25,89
29,36.375,86
30,40.875,85
31,43.625,87
32,44.625,88
33,46.125,82
34,48.0,85
35,53.25,86
36,54.75,85
37,56.00000000000001,88
38,57.49999999999999,87
39,53.75,87
40,60.0,88
41,57.375,88
42,65.125,86
43,63.375,86
44,61.12499999999999,86
45,62.375,80
46,59.75,82
47,60.62499999999999,83
48,61.625,79
49,62.25000000000001,78
50,60.5,81
51,60.25,81
52,62.0,79
53,63.625,75
54,61.75000000000001,70
55,63.24999999999999,70
56,64.25,73
57,64.875,72
58,61.375,75
59,64.25,72
60,63.87500000000001,72
61,60.62499999999999,71
62,64.75,76
63,64.25,73
64,63.375,71
65,62.875,66
66,63.375,70
67,62.5,72
68,62.5,75
69,59.5,77
70,61.0,80
71,62.125,83
72,59.5,83
73,60.25,83
74,62.375,78
75,57.875,75
76,62.875,72
77,65.5,73
78,62.875,74
79,60.62499999999999,74
80,61.25000000000001,74
81,61.0,72
82,64.125,66
83,63.125,71
84,64.125,75
85,63.5,75
86,63.125,77
87,67.0,70
88,67.0,69
89,63.24999999999999,73
90,68.25,78
91,63.125,75
92,64.75,76
93,62.625,75
94,65.625,72
95,62.5,72
96,65.125,71
97,63.24999999999999,65
98,63.625,70
99,63.24999999999999,74
100,62.74999999999999,73
101,64.875,72
102,60.875,78
103,63.74999999999999,77
104,67.75,80
105,62.5,77
106,63.87500000000001,80
107,65.0,81
108,59.62499999999999,77
109,62.625,74
110,64.625,74
111,60.25,83
112,65.625,77
113,65.375,78
114,64.625,78
115,65.375,79
116,63.625,77
117,63.625,78
118,64.875,83
119,65.625,75
120,62.375,77
121,63.5,80
122,64.0,76
123,60.25,75
124,65.875,72
125,63.74999999999999,75
126,64.5,73
127,60.75000000000001,77
128,65.25,76
129,63.625,75
130,63.625,73
131,63.125,73
132,62.875,74
133,64.875,70
134,61.25000000000001,72
135,64.25,71
136,64.625,73
137,58.5,74
138,62.25000000000001,75
139,63.74999999999999,79
140,64.625,81
141,66.125,77
142,64.625,71
143,66.25,71
144,65.25,73
145,61.75000000000001,72
146,61.75000000000001,74
147,64.125,72
148,63.625,73
149,63.74999999999999,69
150,68.625,73
151,59.62499999999999,75
152,62.25000000000001,77
153,63.87500000000001,70
154,61.0,77
155,62.25000000000001,73
156,62.625,68
157,63.625,68
158,65.125,71
159,65.625,66
160,63.625,68
161,63.625,73
162,61.375,72
163,62.375,73
164,64.125,68
165,66.75,65
166,64.125,69
167,64.875,66
168,62.5,66
169,61.875,65
170,61.625,62
171,63.74999999999999,61
172,63.24999999999999,64
173,65.125,59
174,64.5,61
175,63.74999999999999,60
176,65.375,64
177,59.62499999999999,63
178,63.625,64
179,59.62499999999999,65
180,65.125,65
181,62.875,65
182,62.625,63
183,62.375,67
184,63.375,69
185,61.875,64
186,63.24999999999999,63
187,62.875,63
188,63.625,63
189,64.375,64
190,65.625,66
191,63.125,60
192,66.625,62
193,65.125,63
194,66.125,63
195,64.125,64
196,62.0,65
197,63.125,63
198,62.5,56
199,62.625,60
200,65.0,66
201,66.0,69
202,63.24999999999999,68
203,62.0,71
204,63.74999999999999,67
205,61.0,71
206,64.25,68
207,64.5,67
208,64.25,67
209,62.375,65
210,63.125,66
211,60.25,65
212,60.375,65
213,68.375,67
214,66.5,69
215,65.875,68
216,62.5,64
217,62.5,65
218,62.25000000000001,64
219,62.375,61
220,65.625,63
221,63.0,63
222,61.5,66
223,65.375,70
224,65.0,62
225,63.5,62
226,66.875,64
227,64.375,66
228,66.625,66
229,62.25000000000001,68
230,63.0,67
231,64.875,65
232,63.24999999999999,66
233,62.875,66
234,65.25,62
235,63.0,60
236,63.625,60
237,63.0,57
238,62.125,59
239,63.0,60
240,65.875,62
241,64.25,63
242,59.12500000000001,62
243,63.24999999999999,60
244,64.625,57
245,66.5,66
246,64.375,64
247,64.0,60
248,64.0,63
249,64.25,68
250,66.375,60
251,63.74999999999999,61
252,62.875,62
253,64.75,58
254,66.5,56
255,64.625,62
256,66.25,58
257,61.0,57
258,63.74999999999999,65
259,64.25,62
260,62.25000000000001,63
261,66.375,58
262,63.625,60
263,63.87500000000001,61
264,59.25,62
265,63.74999999999999,60
266,59.75,62
267,64.0,58
268,63.375,60
269,65.875,66
270,64.625,64
271,65.625,67
272,59.5,63
273,64.5,69
274,58.75,64
275,62.5,65
276,61.375,70
277,63.0,65
278,65.625,64
279,65.875,65
280,64.125,66
281,63.625,75
282,60.75000000000001,73
283,67.375,67
284,65.875,63
285,65.25,64
286,59.875,60
287,63.375,60
288,68.25,61
289,65.625,61
290,62.375,59
291,65.875,62
292,63.74999999999999,62
293,65.25,64
294,61.375,63
295,64.875,64
296,65.75,69
297,64.875,68
298,59.62499999999999,70
299,63.87500000000001,67
