Generation,SurvivalRate,GeneticDiversity
0,13.8,128
1,13.600000000000001,128
2,14.2,128
3,13.8,128
4,11.3,128
5,12.5,128
6,11.0,128
7,13.700000000000001,128
8,14.000000000000002,128
9,14.299999999999999,128
10,15.0,128
11,14.099999999999998,128
12,16.6,128
13,15.4,128
14,16.3,128
15,15.7,128
16,17.8,128
17,15.6,128
18,17.299999999999997,128
19,16.5,128
20,20.4,128
21,20.599999999999998,128
22,19.8,128
23,20.0,128
24,19.400000000000002,128
25,20.8,128
26,22.5,128
27,23.799999999999997,128
28,22.7,128
29,23.0,127
30,25.2,128
31,26.1,128
32,26.3,128
33,29.599999999999998,128
34,25.7,128
35,28.499999999999996,128
36,34.5,128
37,33.1,128
38,34.8,128
39,33.5,127
40,32.1,128
41,36.3,128
42,31.900000000000002,128
43,37.0,128
44,35.8,128
45,38.6,128
46,36.6,128
47,37.8,128
48,35.8,128
49,36.7,128
50,41.4,128
51,34.300000000000004,128
52,36.8,128
53,33.300000000000004,128
54,37.4,128
55,33.5,128
56,36.9,128
57,37.3,128
58,36.5,128
59,35.0,127
60,35.8,128
61,38.9,128
62,38.5,128
63,42.5,127
64,39.7,128
65,38.0,128
66,35.8,128
67,37.6,128
68,38.0,128
69,35.9,128
70,36.9,128
71,36.5,128
72,38.7,128
73,37.8,128
74,37.3,128
75,36.199999999999996,128
76,35.4,128
77,36.1,128
78,39.800000000000004,128
79,36.7,128
80,39.0,128
81,35.9,128
82,38.0,127
83,37.7,127
84,37.7,128
85,39.1,128
86,34.2,128
87,38.800000000000004,128
88,35.199999999999996,128
89,35.4,128
90,39.0,127
91,36.7,128
92,38.6,127
93,37.8,128
94,36.7,128
95,36.4,128
96,35.5,128
97,38.3,127
98,36.0,128
99,36.9,128
100,35.699999999999996,127
101,40.1,128
102,36.4,128
103,37.4,127
104,39.6,128
105,36.0,128
106,37.6,128
107,38.1,128
108,39.0,128
109,38.4,128
110,35.699999999999996,128
111,38.0,128
112,39.7,128
113,36.4,128
114,36.4,128
115,38.7,128
116,37.0,128
117,37.9,128
118,37.5,128
119,37.6,128
120,38.1,128
121,42.199999999999996,128
122,38.6,128
123,36.6,127
124,36.9,128
125,39.6,128
126,38.1,128
127,39.7,128
128,41.9,128
129,37.9,128
130,40.1,128
131,40.400000000000006,128
132,41.4,128
133,38.0,128
134,37.9,128
135,37.9,128
136,40.9,128
137,35.099999999999994,128
138,40.1,128
139,40.699999999999996,128
140,36.8,128
141,36.6,128
142,40.8,128
143,39.7,128
144,38.0,128
145,39.800000000000004,127
146,41.099999999999994,128
147,37.5,128
148,38.6,127
149,36.4,128
150,35.3,128
151,36.3,128
152,35.6,128
153,41.6,128
154,40.6,128
155,42.3,128
156,40.400000000000006,128
157,42.0,127
158,37.0,128
159,40.400000000000006,128
160,37.9,128
161,39.2,128
162,35.199999999999996,128
163,37.8,128
164,38.9,127
165,38.2,128
166,37.7,128
167,38.4,128
168,39.1,128
169,34.0,127
170,37.7,128
171,39.6,127
172,40.5,128
173,37.2,128
174,35.5,128
175,39.6,127
176,41.699999999999996,128
177,38.7,128
178,39.2,128
179,40.1,128
180,38.6,128
181,38.5,128
182,39.900000000000006,128
183,35.8,128
184,37.7,128
185,38.1,128
186,40.699999999999996,128
187,36.4,128
188,39.7,128
189,40.5,128
190,38.4,128
191,36.0,128
192,40.9,128
193,34.8,128
194,38.6,128
195,38.1,128
196,37.1,128
197,36.4,128
198,40.699999999999996,128
199,32.2,128
200,37.4,127
201,38.7,127
202,35.3,128
203,36.8,128
204,36.3,128
205,35.699999999999996,128
206,35.6,128
207,40.9,128
208,34.599999999999994,128
209,37.7,128
210,37.9,128
211,38.800000000000004,128
212,39.6,128
213,37.4,128
214,39.5,128
215,36.7,128
216,40.8,128
217,39.6,127
218,40.1,128
219,38.3,128
220,38.800000000000004,128
221,37.7,128
222,40.699999999999996,128
223,41.0,128
224,38.7,126
225,38.6,128
226,37.6,128
227,39.4,128
228,36.0,128
229,38.6,128
230,37.0,128
231,36.0,128
232,39.300000000000004,128
233,36.7,128
234,35.6,128
235,40.2,128
236,36.199999999999996,128
237,36.199999999999996,128
238,39.4,128
239,39.1,128
240,36.1,128
241,36.8,128
242,40.400000000000006,128
243,39.2,128
244,39.2,128
245,39.800000000000004,128
246,37.4,128
247,37.6,128
248,38.7,128
249,39.300000000000004,128
250,34.599999999999994,128
251,38.6,128
252,38.5,128
253,38.4,128
254,38.2,128
255,37.8,128
256,35.5,128
257,35.699999999999996,128
258,34.300000000000004,128
259,38.3,128
260,35.5,128
261,35.5,128
262,35.9,128
263,34.5,128
264,38.5,128
265,38.4,128
266,38.1,128
267,33.900000000000006,128
268,38.2,128
269,35.4,128
270,38.9,128
271,38.6,128
272,40.300000000000004,128
273,38.4,128
274,40.5,128
275,37.8,128
276,37.1,128
277,37.3,128
278,38.800000000000004,128
279,33.7,128
280,41.0,128
281,38.4,128
282,40.400000000000006,128
283,33.1,128
284,38.7,128
285,37.0,128
286,37.5,128
287,38.2,128
288,39.900000000000006,128
289,39.2,128
290,37.6,128
291,35.699999999999996,128
292,41.3,128
293,39.7,127
294,35.6,128
295,35.9,127
296,37.1,128
297,36.4,128
298,40.300000000000004,128
299,37.0,128
