Generation,SurvivalRate,GeneticDiversity
0,11.625,128
1,15.25,128
2,16.0,128
3,16.75,128
4,15.875,127
5,14.124999999999998,126
6,16.375,125
7,15.875,122
8,13.750000000000002,118
9,17.25,117
10,19.625,116
11,18.625,112
12,18.125,108
13,20.25,108
14,20.25,104
15,24.375,102
16,22.25,101
17,24.125,100
18,27.0,97
19,31.874999999999996,93
20,27.875,92
21,33.5,89
22,34.25,86
23,35.75,82
24,34.5,81
25,39.125,80
26,44.625,80
27,43.125,79
28,48.25,79
29,50.24999999999999,77
30,50.875,76
31,53.0,76
32,54.37499999999999,74
33,60.875,73
34,59.62499999999999,69
35,62.875,68
36,62.875,64
37,62.74999999999999,63
38,60.12499999999999,63
39,65.75,63
40,62.5,62
41,64.25,61
42,66.25,61
43,64.625,59
44,61.875,59
45,63.125,58
46,64.375,57
47,64.125,57
48,59.875,57
49,63.625,57
50,63.0,57
51,66.375,57
52,62.0,57
53,65.375,57
54,62.74999999999999,57
55,65.75,57
56,66.625,56
57,62.0,56
58,64.875,56
59,59.875,57
60,62.25000000000001,56
61,65.75,56
62,63.87500000000001,56
63,63.375,56
64,65.5,56
65,62.25000000000001,55
66,67.25,55
67,64.125,54
68,64.625,54
69,63.625,53
70,64.625,53
71,64.625,53
72,63.625,53
73,63.125,53
74,65.75,55
75,64.125,54
76,63.125,54
77,63.5,53
78,63.625,52
79,65.875,52
80,66.25,52
81,63.625,52
82,64.625,51
83,64.625,51
84,63.375,51
85,64.5,51
86,64.875,51
87,66.125,51
88,66.75,50
89,63.24999999999999,49
90,64.125,49
91,64.5,49
92,64.0,49
93,64.75,49
94,62.74999999999999,48
95,67.375,48
96,63.375,46
97,65.75,46
98,60.875,46
99,67.75,47
100,62.5,46
101,63.625,46
102,62.625,46
103,64.875,45
104,62.0,45
105,65.625,45
106,63.0,44
107,65.125,43
108,64.5,43
109,60.875,43
110,63.625,42
111,64.625,42
112,63.625,42
113,64.0,42
114,64.0,42
115,61.5,42
116,66.625,42
117,63.5,42
118,61.625,42
119,64.0,42
120,59.75,43
121,64.5,42
122,61.75000000000001,42
123,67.0,43
124,63.625,42
125,67.0,42
126,63.87500000000001,42
127,68.125,42
128,61.25000000000001,42
129,64.75,42
130,64.375,42
131,60.25,42
132,65.0,42
133,63.0,43
134,63.125,42
135,65.25,42
136,64.125,42
137,64.625,42
138,68.625,42
139,60.25,42
140,68.875,42
141,65.375,42
142,63.87500000000001,42
143,65.25,42
144,69.875,42
145,64.125,42
146,64.375,43
147,61.75000000000001,43
148,64.25,43
149,64.125,43
150,68.0,42
151,65.125,42
152,65.125,42
153,65.875,41
154,58.5,41
155,64.25,41
156,64.75,41
157,62.5,41
158,66.5,41
159,62.625,41
160,65.25,41
161,62.25000000000001,41
162,63.5,41
163,65.75,41
164,67.5,41
165,67.0,41
166,63.87500000000001,41
167,64.125,40
168,66.25,40
169,62.625,40
170,63.74999999999999,39
171,65.25,39
172,64.125,39
173,63.24999999999999,39
174,65.375,39
175,62.375,39
176,65.125,39
177,65.625,39
178,64.125,38
179,65.75,39
180,65.75,38
181,65.25,38
182,62.875,38
183,65.75,37
184,60.875,37
185,62.375,36
186,64.125,36
187,66.75,36
188,68.25,36
189,66.75,36
190,61.375,35
191,62.875,34
192,63.74999999999999,33
193,68.125,33
194,63.125,33
195,63.24999999999999,33
196,66.25,33
197,63.625,33
198,66.0,33
199,65.625,33
200,62.0,33
201,63.375,33
202,63.375,33
203,59.875,34
204,66.0,33
205,65.125,33
206,63.24999999999999,33
207,65.625,33
208,64.25,33
209,62.5,33
210,65.875,33
211,61.12499999999999,33
212,63.375,33
213,64.625,33
214,65.125,33
215,63.87500000000001,33
216,68.625,33
217,62.0,33
218,61.25000000000001,33
219,63.24999999999999,34
220,61.12499999999999,33
221,65.875,33
222,61.75000000000001,33
223,63.625,33
224,65.75,33
225,66.25,33
226,61.75000000000001,33
227,61.375,33
228,63.87500000000001,33
229,67.375,33
230,59.62499999999999,33
231,63.74999999999999,32
232,65.5,32
233,67.75,31
234,68.5,31
235,61.5,31
236,66.0,31
237,65.5,31
238,63.625,31
239,63.125,31
240,67.0,31
241,63.24999999999999,31
242,66.25,31
243,65.5,31
244,69.0,31
245,66.0,31
246,64.25,31
247,60.375,32
248,66.25,31
249,62.125,31
250,67.625,30
251,65.875,30
252,64.5,30
253,63.87500000000001,30
254,65.625,31
255,65.0,30
256,63.24999999999999,28
257,65.0,28
258,67.75,29
259,61.25000000000001,29
260,64.25,28
261,59.5,28
262,62.625,28
263,66.375,29
264,63.375,28
265,65.375,28
266,63.87500000000001,28
267,62.25000000000001,29
268,63.375,29
269,63.74999999999999,30
270,67.0,28
271,63.74999999999999,28
272,68.0,28
273,64.0,28
274,63.74999999999999,28
275,61.5,28
276,64.125,28
277,62.625,28
278,64.375,28
279,65.625,28
280,69.75,29
281,61.375,29
282,63.24999999999999,29
283,61.625,28
284,60.375,28
285,62.25000000000001,28
286,66.875,28
287,64.625,28
288,64.75,28
289,65.25,28
290,63.5,27
291,65.0,27
292,65.375,27
293,63.375,27
294,64.625,27
295,67.125,27
296,65.125,27
297,64.25,26
298,63.125,27
299,64.5,26
