Generation,SurvivalRate,GeneticDiversity
0,11.4,128
1,9.9,128
2,12.4,128
3,12.1,128
4,13.700000000000001,128
5,10.9,128
6,13.4,128
7,12.4,128
8,12.9,128
9,14.399999999999999,128
10,13.8,128
11,12.5,128
12,13.100000000000001,128
13,14.499999999999998,128
14,15.9,128
15,14.000000000000002,128
16,14.2,128
17,14.6,128
18,12.2,128
19,13.100000000000001,128
20,15.8,128
21,17.1,128
22,16.3,128
23,15.6,128
24,17.299999999999997,128
25,19.0,128
26,20.7,128
27,20.7,128
28,19.6,128
29,20.599999999999998,128
30,22.8,128
31,21.8,128
32,26.1,128
33,27.6,128
34,25.7,128
35,28.000000000000004,128
36,30.099999999999998,128
37,32.7,127
38,31.4,127
39,33.0,128
40,31.2,128
41,32.5,128
42,35.4,128
43,36.9,127
44,38.3,126
45,38.1,126
46,40.400000000000006,128
47,40.2,128
48,38.2,128
49,42.8,128
50,36.9,128
51,38.3,128
52,41.9,127
53,37.1,128
54,36.4,127
55,40.5,128
56,41.5,128
57,41.699999999999996,128
58,39.300000000000004,127
59,37.2,128
60,39.6,128
61,41.8,128
62,37.4,128
63,41.0,128
64,42.6,128
65,41.099999999999994,128
66,42.0,128
67,41.5,128
68,39.2,128
69,39.900000000000006,128
70,37.3,127
71,38.5,127
72,40.9,128
73,38.7,127
74,39.300000000000004,128
75,37.9,128
76,38.0,128
77,39.300000000000004,128
78,40.6,128
79,40.400000000000006,128
80,41.3,127
81,42.699999999999996,128
82,37.6,127
83,39.800000000000004,128
84,42.1,128
85,42.1,128
86,42.5,127
87,41.099999999999994,128
88,42.699999999999996,127
89,37.8,128
90,36.5,127
91,42.3,128
92,43.0,128
93,40.699999999999996,128
94,39.800000000000004,127
95,43.1,127
96,41.4,127
97,42.9,127
98,40.8,128
99,41.9,126
100,40.699999999999996,128
101,39.800000000000004,128
102,40.9,127
103,38.5,128
104,43.7,128
105,39.7,128
106,42.4,128
107,41.8,127
108,40.2,127
109,41.8,128
110,42.1,128
111,39.2,127
112,41.6,128
113,41.5,128
114,44.800000000000004,127
115,42.699999999999996,128
116,43.0,127
117,40.2,128
118,42.5,127
119,39.2,128
120,38.6,126
121,37.7,128
122,39.900000000000006,127
123,40.400000000000006,126
124,36.199999999999996,128
125,39.6,128
126,41.0,128
127,36.5,127
128,40.400000000000006,128
129,40.5,128
130,39.4,128
131,40.2,128
132,40.300000000000004,127
133,40.8,128
134,43.1,127
135,40.1,128
136,40.1,127
137,38.5,127
138,38.9,128
139,40.699999999999996,128
140,39.2,127
141,39.5,127
142,42.5,127
143,40.9,127
144,41.4,128
145,41.9,128
146,39.5,128
147,42.4,128
148,41.3,128
149,40.5,128
150,40.699999999999996,128
151,41.5,128
152,40.2,128
153,38.800000000000004,128
154,41.8,128
155,41.5,126
156,38.5,128
157,40.9,128
158,40.6,128
159,44.3,128
160,41.099999999999994,128
161,39.900000000000006,127
162,39.6,128
163,43.8,127
164,40.0,128
165,37.5,127
166,40.1,127
167,38.6,128
168,42.0,128
169,41.099999999999994,128
170,38.6,128
171,41.099999999999994,128
172,35.6,128
173,39.900000000000006,128
174,39.1,128
175,37.3,128
176,37.4,128
177,36.7,128
178,42.1,128
179,41.199999999999996,128
180,43.3,128
181,38.6,128
182,37.8,126
183,39.800000000000004,127
184,34.5,127
185,38.5,128
186,40.400000000000006,128
187,42.9,128
188,36.199999999999996,128
189,36.7,128
190,36.4,128
191,38.800000000000004,127
192,40.8,128
193,40.9,126
194,40.1,128
195,39.5,128
196,39.900000000000006,126
197,39.0,127
198,40.2,128
199,42.0,125
200,39.4,127
201,39.6,128
202,42.4,127
203,38.5,128
204,37.2,127
205,42.5,127
206,39.2,128
207,40.699999999999996,128
208,39.900000000000006,128
209,38.1,128
210,38.2,127
211,38.6,128
212,40.8,128
213,40.5,128
214,41.4,128
215,38.6,128
216,43.5,127
217,37.7,127
218,40.699999999999996,128
219,41.8,128
220,35.9,128
221,38.3,128
222,39.6,128
223,38.1,128
224,39.900000000000006,128
225,38.9,128
226,42.0,127
227,40.6,127
228,39.5,128
229,42.699999999999996,127
230,39.0,128
231,41.3,128
232,38.6,128
233,39.6,128
234,39.5,127
235,38.7,128
236,40.400000000000006,128
237,40.5,128
238,38.1,128
239,41.0,128
240,42.9,128
241,39.900000000000006,128
242,39.6,128
243,36.6,127
244,41.9,128
245,41.8,128
246,39.1,128
247,42.5,128
248,40.400000000000006,127
249,40.2,128
250,41.5,128
251,41.6,128
252,39.5,128
253,40.1,127
254,37.5,128
255,39.900000000000006,128
256,41.099999999999994,127
257,38.9,127
258,41.099999999999994,127
259,39.300000000000004,128
260,42.199999999999996,128
261,38.5,128
262,41.0,128
263,39.7,128
264,42.6,127
265,42.5,128
266,39.900000000000006,127
267,40.400000000000006,127
268,40.5,128
269,44.9,128
270,37.3,127
271,42.5,128
272,44.5,127
273,42.699999999999996,127
274,39.900000000000006,127
275,39.800000000000004,127
276,40.6,128
277,40.5,128
278,39.4,127
279,42.199999999999996,128
280,41.4,127
281,40.6,127
282,40.1,128
283,39.7,128
284,41.099999999999994,127
285,42.699999999999996,127
286,45.5,126
287,41.199999999999996,128
288,38.3,128
289,39.4,127
290,37.1,128
291,41.8,128
292,38.3,128
293,41.3,128
294,42.9,127
295,40.5,126
296,40.6,128
297,40.2,128
298,41.8,128
299,41.3,128
