Generation,SurvivalRate,GeneticDiversity
0,13.0,128
1,12.4,128
2,12.7,128
3,12.3,128
4,12.4,128
5,12.7,128
6,12.6,127
7,13.600000000000001,127
8,13.100000000000001,126
9,13.0,128
10,12.9,126
11,14.399999999999999,127
12,16.1,128
13,12.8,126
14,14.7,126
15,16.3,128
16,12.8,126
17,14.299999999999999,128
18,14.6,127
19,18.0,127
20,19.2,128
21,20.1,128
22,21.7,126
23,17.2,127
24,21.5,127
25,20.1,127
26,20.599999999999998,127
27,24.2,128
28,21.7,128
29,23.5,128
30,23.599999999999998,127
31,22.8,127
32,27.1,127
33,28.7,128
34,27.900000000000002,128
35,28.799999999999997,128
36,30.4,128
37,28.000000000000004,128
38,30.099999999999998,127
39,29.7,127
40,34.9,127
41,33.4,127
42,36.7,128
43,36.199999999999996,128
44,37.9,127
45,41.099999999999994,126
46,42.1,124
47,41.9,128
48,41.4,127
49,42.1,127
50,44.0,126
51,42.0,127
52,43.4,126
53,43.5,127
54,41.5,128
55,42.9,128
56,39.300000000000004,126
57,44.1,127
58,38.800000000000004,128
59,40.2,126
60,42.9,126
61,41.199999999999996,126
62,43.1,126
63,44.5,124
64,43.8,127
65,45.5,125
66,42.5,126
67,44.9,126
68,46.6,127
69,42.8,126
70,41.3,128
71,41.4,127
72,39.2,128
73,42.3,126
74,43.6,126
75,45.6,127
76,46.1,125
77,44.1,125
78,43.5,125
79,41.4,128
80,44.2,124
81,43.3,127
82,44.3,127
83,43.4,126
84,44.2,128
85,44.0,127
86,46.2,127
87,41.8,126
88,49.7,125
89,43.9,127
90,44.3,127
91,45.6,127
92,42.9,126
93,44.2,124
94,44.6,126
95,43.3,126
96,40.5,128
97,44.4,127
98,42.5,128
99,44.6,127
100,44.2,125
101,43.8,128
102,43.7,128
103,43.7,128
104,45.7,125
105,44.2,126
106,42.0,128
107,46.5,128
108,44.800000000000004,126
109,44.5,126
110,43.7,127
111,44.7,128
112,41.6,128
113,42.699999999999996,128
114,44.0,127
115,41.0,128
116,43.1,127
117,43.0,126
118,40.9,126
119,45.6,123
120,42.199999999999996,126
121,42.9,127
122,42.1,125
123,43.1,128
124,46.0,127
125,41.099999999999994,128
126,45.6,128
127,43.2,126
128,43.7,125
129,43.1,126
130,44.800000000000004,127
131,42.0,126
132,42.1,127
133,43.7,128
134,46.800000000000004,126
135,45.1,126
136,42.699999999999996,128
137,42.4,125
138,42.5,125
139,45.2,127
140,42.4,127
141,45.2,126
142,46.5,127
143,48.0,127
144,42.0,127
145,42.199999999999996,128
146,45.7,128
147,47.099999999999994,126
148,43.7,126
149,42.6,128
150,44.7,128
151,39.7,128
152,40.5,126
153,43.4,125
154,41.5,128
155,47.699999999999996,127
156,45.1,128
157,44.3,127
158,44.6,127
159,44.1,126
160,43.7,127
161,42.699999999999996,127
162,40.9,127
163,45.9,126
164,43.5,126
165,46.5,128
166,40.9,126
167,44.0,128
168,40.1,128
169,42.9,127
170,44.2,126
171,43.5,128
172,43.4,126
173,45.2,125
174,40.1,128
175,41.6,127
176,44.5,125
177,40.400000000000006,126
178,43.7,128
179,44.5,127
180,44.800000000000004,127
181,43.1,126
182,43.9,127
183,43.5,128
184,41.5,127
185,46.1,125
186,48.699999999999996,127
187,43.1,127
188,38.6,128
189,45.2,127
190,43.4,127
191,44.3,126
192,44.9,127
193,42.3,127
194,42.0,127
195,42.4,127
196,42.3,126
197,39.2,127
198,44.0,127
199,43.4,128
200,42.4,127
201,41.699999999999996,128
202,39.1,124
203,42.5,124
204,46.7,127
205,44.3,127
206,45.2,127
207,44.3,127
208,42.5,128
209,43.3,127
210,44.7,128
211,39.300000000000004,126
212,43.4,125
213,40.8,126
214,45.2,126
215,43.7,125
216,46.0,127
217,42.6,126
218,42.8,126
219,44.800000000000004,127
220,44.0,127
221,42.8,128
222,44.6,127
223,42.8,127
224,42.8,128
225,43.1,125
226,42.699999999999996,127
227,45.300000000000004,123
228,44.9,124
229,42.6,123
230,43.8,128
231,42.699999999999996,127
232,45.4,127
233,42.199999999999996,128
234,40.1,127
235,45.2,128
236,42.8,127
237,42.3,128
238,45.1,124
239,46.2,126
240,44.7,128
241,45.7,126
242,43.5,126
243,46.6,126
244,42.199999999999996,128
245,41.4,127
246,41.6,127
247,44.3,128
248,41.099999999999994,128
249,43.6,126
250,44.4,126
251,43.1,125
252,45.0,126
253,41.6,126
254,46.5,126
255,45.1,127
256,43.0,125
257,44.2,127
258,44.4,128
259,43.7,127
260,44.6,128
261,40.8,128
262,45.9,128
263,44.9,127
264,42.199999999999996,128
265,43.7,125
266,45.800000000000004,126
267,45.0,124
268,45.0,126
269,43.9,123
270,46.5,125
271,46.1,126
272,41.8,125
273,41.0,125
274,45.9,125
275,43.2,123
276,44.800000000000004,124
277,45.9,127
278,47.0,124
279,46.7,125
280,47.199999999999996,128
281,46.5,126
282,45.7,124
283,46.0,128
284,43.6,127
285,43.2,125
286,41.5,125
287,46.6,123
288,41.099999999999994,127
289,48.9,127
290,43.7,128
291,43.1,127
292,42.9,127
293,44.6,127
294,46.2,128
295,48.9,127
296,46.6,127
297,42.199999999999996,125
298,43.5,125
299,44.800000000000004,128
